file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,13
style.css,2,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,3
style.css,3,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,1,23
style.css,4,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,0
style.css,5,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,0
style.css,6,css,89571fcf,Bryan,2025-10-04,22:24:18,-07:00,2025-10-04T22:24:18-07:00,0,4
style.css,7,css,89571fcf,Bryan,2025-10-04,22:24:18,-07:00,2025-10-04T22:24:18-07:00,1,43
style.css,8,css,89571fcf,Bryan,2025-10-04,22:24:18,-07:00,2025-10-04T22:24:18-07:00,0,42
style.css,9,css,89571fcf,Bryan,2025-10-04,22:24:18,-07:00,2025-10-04T22:24:18-07:00,0,0
style.css,10,css,89571fcf,Bryan,2025-10-04,22:24:18,-07:00,2025-10-04T22:24:18-07:00,1,23
style.css,11,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,13
style.css,12,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,10
style.css,13,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,15
style.css,14,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,18
style.css,15,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,13
style.css,16,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,1,17
style.css,17,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,1,16
style.css,18,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,19,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,20,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,17
style.css,21,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,3
style.css,22,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,12
style.css,23,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,17
style.css,24,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,17
style.css,25,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,1,43
style.css,26,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,15
style.css,27,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,28,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,3
style.css,29,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,1,39
style.css,30,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,1,39
style.css,31,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,0
style.css,32,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,0
style.css,33,css,14706b1c,Bryan,2025-10-17,22:35:56,-07:00,2025-10-17T22:35:56-07:00,0,0
style.css,34,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,35,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,5
style.css,36,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,43
style.css,37,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,20
style.css,38,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,6
style.css,39,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,20
style.css,40,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,12
style.css,41,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,17
style.css,42,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,13
style.css,43,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,44,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,10
style.css,45,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,21
style.css,46,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,47,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,48,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,15
style.css,49,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,4
style.css,50,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,4
style.css,51,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,7
style.css,52,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,6
style.css,53,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,12
style.css,54,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,13
style.css,55,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,56,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,57,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,7
style.css,58,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,7
style.css,59,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,5
style.css,60,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,10
style.css,61,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,21
style.css,62,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,63,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,64,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,4
style.css,65,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,18
style.css,66,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,2
style.css,67,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,4
style.css,68,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,12
style.css,69,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,30
style.css,70,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,7
style.css,71,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,18
style.css,72,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,73,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,5
style.css,74,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,14
style.css,75,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,16
style.css,76,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,77,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,4
style.css,78,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,8
style.css,79,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,13
style.css,80,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,10
style.css,81,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,21
style.css,82,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,83,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,6
style.css,84,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,18
style.css,85,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,21
style.css,86,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,87,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,88,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,9
style.css,89,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,12
style.css,90,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,58
style.css,91,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,30
style.css,92,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,93,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,17
style.css,94,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,12
style.css,95,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,26
style.css,96,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,15
style.css,97,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,98,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,12
style.css,99,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,55
style.css,100,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,101,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,0
style.css,102,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,37
style.css,103,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,0,1
style.css,104,css,551fe3a4,Bryan,2025-10-10,16:53:55,-07:00,2025-10-10T16:53:55-07:00,1,13
